additional_work_5,Do you think that the #{function_policy_substitution} could have a role in making sure that #{wordings[strand]} were treated equally and fairly?,This question asks you to assess whether the #{function_policy_substitution} could have a role in promoting equality of opportunity for #{wordings[strand]}.<br/><br/> There will be a minority of #{function_policy_substitution}s that are intended to eliminate equality of opportunity as their primary purpose and some #{function_policy_substitution}s which might have a secondary role in promoting equality.
impact_age_1,Describe how the #{function_policy_substitution} meets the needs of #{wordings[strand]}?,This question asks you to assess the current impact of the #{function_policy_substitution} in meeting the particular needs of #{wordings[strand]}.<br/><br/> If the #{function_policy_substitution} is not meeting the needs of any #{wordings[strand]} purely because of their #{descriptive_term[strand]} then clearly the impact of the #{function_policy_substitution} in this regard is not positive.
additional_work_age_1,Do you need any more information to complete the assessment?,This question asks you to reflect upon whether you think that you need further information to obtain a comprehensive view of the impact of the #{function_policy_substitution}.<br/><br/> The Impact section asked you to identify existing information to assess the impact of the #{function_policy_substitution} on #{wordings[strand]}.<br/><br/> The Consultation section asked you to who had been consulted about the impact of the #{function_policy_substitution}. <br/><br/> Even with these two sources of information you may feel that there is additional information required such as further data collection and analysis of further consultation.
consultation_age_1,Have you obtained the views of #{wordings[strand]} on the impact of the #{function_policy_substitution}?,"This question asks whether any individuals representing the interests of #{wordings[strand]} have been consulted on the impact of the #{function_policy_substitution}.<br/><br/> #{data[""extra_strand_wordings""][""consultation""][1][strand]} The consultation may have been arranged specifically for this particular #{function_policy_substitution} or for a number of #{function_policy_substitution}s.<br/><br/> The available answers to this question are:<br/> <ul><li>Yes</li> <li>No</li> </ul><br/>"
additional_work_age_10,Please explain how individuals may be impacted.,""
impact_age_10,Please give more information about the contradictory evidence.,This question asks you to record the details of the contradictory evidence.<br/><br/>
additional_work_age_11,Please explain how.,""
impact_age_2,Do you have evidence to support the assessment?,"This question asks you whether you have any information to support your assessment of the impact of the #{function_policy_substitution} that you recorded in the previous question.<br/><br/> The information could take a wide variety of forms from regular performance management information, evaluation work, surveys, academic publications and audit reports.<br/><br/> The available answers are:<br/> <ul><li>Yes</li> <li>No</li> </ul> If you have not got information to support the assessment of impact you might like to think on what basis you made the assessment."
additional_work_age_2,Please explain what information you need.,"A brief description of the nature of the information, source and timescales for collection will be sufficient."
consultation_age_2,"If not, why not?",This question asks why groups have not been consulted on the impact of the #{function_policy_substitution}.<br/><br/> The available answers to this question are:<ul> <li>No relevant individuals identified.  This would be the correct answer if it had been decided that there were no suitable groups representing the interests of #{wordings[strand]} to consult with.</li> <li>There are plans to consult relevant individuals.  This would be the correct answer if the consultation was planned but had not yet taken place.</li> <li>There are no plans to consult relevant individuals.  There may be reasons why the Council had decided not to consult on the impact of the #{function_policy_substitution}.</li></ul>
additional_work_age_3,Is there any more work you feel is necessary to complete the assessment?,""
purpose_age_3,#{wordings[strand_short]},"<p>Having due regard to the need to advance equality of opportunity between persons who share a relevant protected characteristic and persons who do not share it involves the need to:</p><ul><li>remove or minimise disadvantages suffered by persons who share a relevant protected characteristic that are connected to that characteristic;</li><li>take steps to meet the needs of persons who share a relevant protected characteristic that are different from the needs of persons who do not share it;</li><li>encourage persons who share a relevant protected characteristic to participate in public life or in any other activity in which participation by such persons is disproportionately low.</li><p>The steps involved in meeting the needs of disabled persons that are different from the needs of persons who are not disabled include, in particular, steps to take account of disabled persons’ disabilities.Having due regard to the need to foster good relations between persons who share a relevant protected characteristic and persons who do not share it involves having due regard, in particular, to the need to:</p><ul><li>tackle prejudice;</li><li>promote understanding.</li></ul><p>It is acceptable that this #{function_policy_substitution} treats some persons more favourably than others.</p>"
consultation_age_3,"If so, how did you obtain these views?",This question asks you to list the groups that have been consulted and the date of the consultation.<br/><br/> If any future consultations are planned please record these details as well.
impact_age_3,Please record the type of evidence and where it is from?,"This question asks you to record the nature of the information you have used to make your assessment of the impact.<br/><br/> A brief description of the information, its source and date is sufficient. e.g.<br/> Internal Audit Report.<br/> ABC Ltd<br/> October 2007"
additional_work_age_4,"Do you think that the #{function_policy_substitution} has a role in preventing #{wordings[strand]} being treated differently, in an unfair or inappropriate way, just because of their #{sentence_desc(strand)}?",This question asks you to assess whether the #{function_policy_substitution} could have a role in eliminating discrimination or harassment faced by #{wordings[strand]} as a result of their #{descriptive_term[strand]}.<br/><br/> There will be a minority of #{function_policy_substitution}s that are intended to eliminate discrimination or harassment as their primary purpose and some #{function_policy_substitution}s which might have a secondary role in eliminating discrimination or harassment.
consultation_age_4,Have you obtained the views of relevant stakeholders on the impact of the #{function_policy_substitution} on #{wordings[strand]}?,"This question asks whether any stakeholders with knowledge and expertise on the #{""different "" if strand == ""gender""}interests of #{wordings[strand]} have been consulted on the impact of the #{function_policy_substitution}.<br/><br/> #{data[""extra_strand_wordings""][""consultation""][4][strand]} The consultation may have been arranged specifically for this particular #{function_policy_substitution} or for a number of #{function_policy_substitution}s.<br/><br/> The available answers to this question are:<br/> <ul><li>Yes</li> <li>No</li> </ul><br/>"
impact_age_4,Do you plan to collect any evidence?,This question asks you whether the Council has any plans to collect information to assess the impact of the #{function_policy_substitution}.
additional_work_age_44,Please explain what work needs to be done.,A brief description of the nature of the work and timescales for completion will be sufficient.
consultation_age_5,"If not, why not?",This question asks why stakeholders have not been consulted on the impact of the #{function_policy_substitution}.<br/><br/> The available answers to this question are:<ul> <li>No relevant stakeholders identified.  This would be the correct answer if it had been decided that there were no suitable stakeholders representing the interests of #{wordings[strand]} to consult with.</li> <li>There are plans to consult relevant stakeholders.  This would be the correct answer if the consultation was planned but had not yet taken place.</li> <li>There are no plans to consult relevant stakeholders.  There may be reasons why the Council had decided not to consult on the impact of the #{function_policy_substitution}.</li></ul>
impact_age_5,What evidence will be collected and when?,This question asks you to estimate the timescales for collecting additional information.<br/><br/> If you are not sure about the timescales please note this in the space provided.
consultation_age_6,"If so, how did you obtain these views?",This question asks you to list the groups that have been consulted and the date of the consultation.<br/><br/> If any future consultations are planned please record these details as well.
additional_work_age_6,Do you think that the #{function_policy_substitution} could help foster good relations between persons who share the relevant protected characteristic and persons who do not share it?,This question asks you to assess whether the #{function_policy_substitution} could have a role in assisting #{wordings[strand]} to get on better with each other.<br/><br/> There will be a minority of #{function_policy_substitution}s that are intended to promote good relations as their primary purpose and some #{function_policy_substitution}s that might have this as a secondary role.
impact_age_6,Have you received any other feedback about the #{function_policy_substitution} in meeting the needs of #{wordings[strand]}?,"This question asks you if there are other measures by which you could assess the impact of the #{function_policy_substitution} on #{wordings[strand]}#{data[""extra_strand_wordings""][""impact""][6][""extra_word""][strand]}.  Such measures might be the level of complaints, anecdotal evidence or your first hand experience of the #{function_policy_substitution}.<br/><br/>#{data[""extra_strand_wordings""][""impact""][6][""extra_paragraph""][strand]} The available answers to this question are:<br/> <ul><li>Yes</li> <li>No</li> </ul><br/> In the light of this question you may want to go back and review your assessment of the impact of the #{function_policy_substitution} on #{wordings[strand]}."
consultation_age_7,Is there anything about the #{function_policy_substitution} and the way it affects #{wordings[strand]} which needs highlighting?,"This question asks you to identify any issues about the way in which the #{function_policy_substitution} has an impact upon people from different religions or beliefs.  An issue will be where there is a differential impact.  #{data[""extra_strand_wordings""][""consultation""][7][strand]}<br/><br/> Differential impact can be positive or negative.  Negative or adverse differential impact needs to be addressed by putting in place compensatory measures.<br/><br/> Some differential impact is intentional and can be characterised as positive action."
impact_age_7,Please record the nature of such feedback.,"This question asks you to record the details of any additional measures.<br/><br/> A brief description, source and date will be sufficient."
impact_age_8,"You may have evidence from more than one source.  If so, does it present a consistent view?",This question asks you whether all the information from the range of sources gives a consistent assessment of the impact of the #{function_policy_substitution}.
impact_age_9,Is there anything about the #{function_policy_substitution} and the way it affects #{wordings[strand]} which needs highlighting?,"This question asks you to identify any issues about the way in which the #{function_policy_substitution} has an impact upon people from different religions or beliefs.  An issue will be where there is a differential impact.  #{data[""extra_strand_wordings""][""impact""][9][strand]}<br/><br/> Differential impact can be positive or negative. Negative or adverse differential impact needs to be addressed by putting in place compensatory measures.<br/><br/> Some differential impact is intentional and can be characterised as positive action."
consultation_disability_1,Have you obtained the views of #{wordings[strand]} on the impact of the #{function_policy_substitution}?,"This question asks whether any individuals representing the interests of #{wordings[strand]} have been consulted on the impact of the #{function_policy_substitution}.<br/><br/> #{data[""extra_strand_wordings""][""consultation""][1][strand]} The consultation may have been arranged specifically for this particular #{function_policy_substitution} or for a number of #{function_policy_substitution}s.<br/><br/> The available answers to this question are:<br/> <ul><li>Yes</li> <li>No</li> </ul><br/>"
impact_disability_1,Describe how the #{function_policy_substitution} meets the needs of #{wordings[strand]}?,This question asks you to assess the current impact of the #{function_policy_substitution} in meeting the particular needs of #{wordings[strand]}.<br/><br/> If the #{function_policy_substitution} is not meeting the needs of any #{wordings[strand]} purely because of their #{descriptive_term[strand]} then clearly the impact of the #{function_policy_substitution} in this regard is not positive.
additional_work_disability_1,Do you need any more information to complete the assessment?,This question asks you to reflect upon whether you think that you need further information to obtain a comprehensive view of the impact of the #{function_policy_substitution}.<br/><br/> The Impact section asked you to identify existing information to assess the impact of the #{function_policy_substitution} on #{wordings[strand]}.<br/><br/> The Consultation section asked you to who had been consulted about the impact of the #{function_policy_substitution}. <br/><br/> Even with these two sources of information you may feel that there is additional information required such as further data collection and analysis of further consultation.
additional_work_disability_10,Please explain how individuals may be impacted.,""
impact_disability_10,Please give more information about the contradictory evidence.,This question asks you to record the details of the contradictory evidence.<br/><br/>
additional_work_disability_11,Please explain how.,""
consultation_disability_2,"If not, why not?",This question asks why groups have not been consulted on the impact of the #{function_policy_substitution}.<br/><br/> The available answers to this question are:<ul> <li>No relevant individuals identified.  This would be the correct answer if it had been decided that there were no suitable groups representing the interests of #{wordings[strand]} to consult with.</li> <li>There are plans to consult relevant individuals.  This would be the correct answer if the consultation was planned but had not yet taken place.</li> <li>There are no plans to consult relevant individuals.  There may be reasons why the Council had decided not to consult on the impact of the #{function_policy_substitution}.</li></ul>
additional_work_disability_2,Please explain what information you need.,"A brief description of the nature of the information, source and timescales for collection will be sufficient."
impact_disability_2,Do you have evidence to support the assessment?,"This question asks you whether you have any information to support your assessment of the impact of the #{function_policy_substitution} that you recorded in the previous question.<br/><br/> The information could take a wide variety of forms from regular performance management information, evaluation work, surveys, academic publications and audit reports.<br/><br/> The available answers are:<br/> <ul><li>Yes</li> <li>No</li> </ul> If you have not got information to support the assessment of impact you might like to think on what basis you made the assessment."
additional_work_disability_3,Is there any more work you feel is necessary to complete the assessment?,""
consultation_disability_3,"If so, how did you obtain these views?",This question asks you to list the groups that have been consulted and the date of the consultation.<br/><br/> If any future consultations are planned please record these details as well.
impact_disability_3,Please record the type of evidence and where it is from?,"This question asks you to record the nature of the information you have used to make your assessment of the impact.<br/><br/> A brief description of the information, its source and date is sufficient. e.g.<br/> Internal Audit Report.<br/> ABC Ltd<br/> October 2007"
purpose_disability_3,#{wordings[strand_short]},"<p>Having due regard to the need to advance equality of opportunity between persons who share a relevant protected characteristic and persons who do not share it involves the need to:</p><ul><li>remove or minimise disadvantages suffered by persons who share a relevant protected characteristic that are connected to that characteristic;</li><li>take steps to meet the needs of persons who share a relevant protected characteristic that are different from the needs of persons who do not share it;</li><li>encourage persons who share a relevant protected characteristic to participate in public life or in any other activity in which participation by such persons is disproportionately low.</li><p>The steps involved in meeting the needs of disabled persons that are different from the needs of persons who are not disabled include, in particular, steps to take account of disabled persons’ disabilities.Having due regard to the need to foster good relations between persons who share a relevant protected characteristic and persons who do not share it involves having due regard, in particular, to the need to:</p><ul><li>tackle prejudice;</li><li>promote understanding.</li></ul><p>It is acceptable that this #{function_policy_substitution} treats some persons more favourably than others.</p>"
consultation_disability_4,Have you obtained the views of relevant stakeholders on the impact of the #{function_policy_substitution} on #{wordings[strand]}?,"This question asks whether any stakeholders with knowledge and expertise on the #{""different "" if strand == ""gender""}interests of #{wordings[strand]} have been consulted on the impact of the #{function_policy_substitution}.<br/><br/> #{data[""extra_strand_wordings""][""consultation""][4][strand]} The consultation may have been arranged specifically for this particular #{function_policy_substitution} or for a number of #{function_policy_substitution}s.<br/><br/> The available answers to this question are:<br/> <ul><li>Yes</li> <li>No</li> </ul><br/>"
impact_disability_4,Do you plan to collect any evidence?,This question asks you whether the Council has any plans to collect information to assess the impact of the #{function_policy_substitution}.
additional_work_disability_4,"Do you think that the #{function_policy_substitution} has a role in preventing #{wordings[strand]} being treated differently, in an unfair or inappropriate way, just because of their #{sentence_desc(strand)}?",This question asks you to assess whether the #{function_policy_substitution} could have a role in eliminating discrimination or harassment faced by #{wordings[strand]} as a result of their #{descriptive_term[strand]}.<br/><br/> There will be a minority of #{function_policy_substitution}s that are intended to eliminate discrimination or harassment as their primary purpose and some #{function_policy_substitution}s which might have a secondary role in eliminating discrimination or harassment.
additional_work_disability_44,Please explain what work needs to be done.,A brief description of the nature of the work and timescales for completion will be sufficient.
consultation_disability_5,"If not, why not?",This question asks why stakeholders have not been consulted on the impact of the #{function_policy_substitution}.<br/><br/> The available answers to this question are:<ul> <li>No relevant stakeholders identified.  This would be the correct answer if it had been decided that there were no suitable stakeholders representing the interests of #{wordings[strand]} to consult with.</li> <li>There are plans to consult relevant stakeholders.  This would be the correct answer if the consultation was planned but had not yet taken place.</li> <li>There are no plans to consult relevant stakeholders.  There may be reasons why the Council had decided not to consult on the impact of the #{function_policy_substitution}.</li></ul>
impact_disability_5,What evidence will be collected and when?,This question asks you to estimate the timescales for collecting additional information.<br/><br/> If you are not sure about the timescales please note this in the space provided.
additional_work_disability_6,Do you think that the #{function_policy_substitution} could help foster good relations between persons who share the relevant protected characteristic and persons who do not share it?,This question asks you to assess whether the #{function_policy_substitution} could have a role in assisting #{wordings[strand]} to get on better with each other.<br/><br/> There will be a minority of #{function_policy_substitution}s that are intended to promote good relations as their primary purpose and some #{function_policy_substitution}s that might have this as a secondary role.
impact_disability_6,Have you received any other feedback about the #{function_policy_substitution} in meeting the needs of #{wordings[strand]}?,"This question asks you if there are other measures by which you could assess the impact of the #{function_policy_substitution} on #{wordings[strand]}#{data[""extra_strand_wordings""][""impact""][6][""extra_word""][strand]}.  Such measures might be the level of complaints, anecdotal evidence or your first hand experience of the #{function_policy_substitution}.<br/><br/>#{data[""extra_strand_wordings""][""impact""][6][""extra_paragraph""][strand]} The available answers to this question are:<br/> <ul><li>Yes</li> <li>No</li> </ul><br/> In the light of this question you may want to go back and review your assessment of the impact of the #{function_policy_substitution} on #{wordings[strand]}."
consultation_disability_6,"If so, how did you obtain these views?",This question asks you to list the groups that have been consulted and the date of the consultation.<br/><br/> If any future consultations are planned please record these details as well.
additional_work_disability_7,Do you think that the #{function_policy_substitution} will take account of disabilities even if it means treating #{wordings[strand]} more favourably?,The question asks whether the #{function_policy_substitution} takes account of disabilities even if it means treating people with disabilities more favourably.<br/><br/> As noted in the Impact section this type of intentional positive impact can be characterized as positive action.
impact_disability_7,Please record the nature of such feedback.,"This question asks you to record the details of any additional measures.<br/><br/> A brief description, source and date will be sufficient."
consultation_disability_7,Is there anything about the #{function_policy_substitution} and the way it affects #{wordings[strand]} which needs highlighting?,"This question asks you to identify any issues about the way in which the #{function_policy_substitution} has an impact upon people from different religions or beliefs.  An issue will be where there is a differential impact.  #{data[""extra_strand_wordings""][""consultation""][7][strand]}<br/><br/> Differential impact can be positive or negative.  Negative or adverse differential impact needs to be addressed by putting in place compensatory measures.<br/><br/> Some differential impact is intentional and can be characterised as positive action."
impact_disability_8,"You may have evidence from more than one source.  If so, does it present a consistent view?",This question asks you whether all the information from the range of sources gives a consistent assessment of the impact of the #{function_policy_substitution}.
additional_work_disability_8,Do you think that the #{function_policy_substitution} could assist #{wordings[strand]} to participate more?,"The question asks you whether the #{function_policy_substitution} could encourage individuals with different types of disability to participate more in society.<br/><br/> #{function_policy_substitution}s which assisted with access, both physical and information, for people with different types of disability might assist in this regard."
impact_disability_9,Is there anything about the #{function_policy_substitution} and the way it affects #{wordings[strand]} which needs highlighting?,"This question asks you to identify any issues about the way in which the #{function_policy_substitution} has an impact upon people from different religions or beliefs.  An issue will be where there is a differential impact.  #{data[""extra_strand_wordings""][""impact""][9][strand]}<br/><br/> Differential impact can be positive or negative. Negative or adverse differential impact needs to be addressed by putting in place compensatory measures.<br/><br/> Some differential impact is intentional and can be characterised as positive action."
additional_work_disability_9,Do you think that the #{function_policy_substitution} could assist in promoting positive attitudes to #{wordings[strand]}?,The question asks you whether the #{function_policy_substitution} could assist in promoting positive attitudes to individuals with different types of disability.
additional_work_faith_1,Do you need any more information to complete the assessment?,This question asks you to reflect upon whether you think that you need further information to obtain a comprehensive view of the impact of the #{function_policy_substitution}.<br/><br/> The Impact section asked you to identify existing information to assess the impact of the #{function_policy_substitution} on #{wordings[strand]}.<br/><br/> The Consultation section asked you to who had been consulted about the impact of the #{function_policy_substitution}. <br/><br/> Even with these two sources of information you may feel that there is additional information required such as further data collection and analysis of further consultation.
